folder_path,after_black pixel,after_white pixel,after_black pixel %,before_black pixel,before_white pixel,before_black pixel %,relative_change,relative_change [(after-before)/before]
M23,1847,1003087,0.1837931645262276,2567,912657,0.28047778467347884,-34.471400385527026,-34.471400385527026
B36,31079,625801,4.731305565704543,12534,1094161,1.132561365145772,317.7526897269338,317.7526897269338
M26,3443,800249,0.42839794349078997,653,963667,0.06771611083457774,532.6381391531984,532.6381391531984
M28,2904,1741113,0.1665121383564495,23925,1106975,2.115571668582545,-92.12921307137685,-92.12921307137685
B37,7863,745560,1.0436368414555968,2999,994953,0.3005154556531777,247.28225181870476,247.28225181870476
M19,438103,186757,70.112185129469,1182,1188738,0.09933440903590159,70481.97235977811,70481.97235977811
B33,31292,1238641,2.464067001959946,4394,802902,0.5442861106706833,352.7153924474867,352.7153924474867
B22,11914,1185744,0.9947748021555403,4945,1070399,0.45985284708893154,116.32459349831086,116.32459349831086
M33,7588,1088912,0.6920200638394893,7329,972755,0.7477930463103163,-7.458344624360482,-7.458344624360482
M36,2651,883751,0.29907423494080565,953,879823,0.10820004178133827,176.40861317337152,176.40861317337152
M25,14475,1093041,1.306978860802011,3862,927354,0.41472655109018747,215.14231663402526,215.14231663402526
B28,22909,1136851,1.9753224805132097,9125,1053475,0.8587427065687936,130.02494989516015,130.02494989516015
M29,378,1006478,0.03754260788037217,4978,746686,0.6622639902935353,-94.33117179393491,-94.33117179393491
B29,22492,730868,2.9855580333439526,27089,1166425,2.269684310364185,31.54067372765605,31.54067372765605
B26,17045,928621,1.8024334172953242,1361,1047687,0.12973667553820226,1289.3013751262492,1289.3013751262492
M22,1819,1094165,0.16596957619819266,3862,927354,0.41472655109018747,-59.98096197074672,-59.98096197074672
M34,7037,832003,0.8386966056445462,4412,1011643,0.434228462041917,93.14639157936749,93.14639157936749
B23,58644,1059632,5.2441436639970815,21060,1287627,1.6092465196032362,225.8757188606528,225.8757188606528
M37,6630,821245,0.8008455382757058,4582,731518,0.622469773128651,28.656132851319732,28.656132851319732
B19,9567,1150137,0.8249518842739181,10432,1755808,0.5906332095298488,39.67245169478192,39.67245169478192
B25,168993,1408507,10.71270998415214,69026,855454,7.466467635860159,43.47761895733449,43.47761895733449
B34,7393,925747,0.7922712561887819,3656,1071712,0.33997664055467525,133.0369683329371,133.0369683329371
